Nama,Setoran_Awal,Jangka_Waktu,Bunga,Hasil_Bunga,Hasil_Bunga_Bulan,Total_Hasil_Investasi
Mahdi Nanda,20000000,3,0.015,300000,900000,20900000
Zelaya Nurlaela,19000000,6,0.03,570000,3420000,22420000
Panji Simbolon,15000000,12,0.035,525000,6300000,21300000
Raden Darmawan,7000000,6,0.025,175000,1050000,8050000
Among Simbolon,9000000,6,0.035,315000,1890000,10890000
Galar Firmansyah,17000000,6,0.025,425000,2550000,19550000
Rizki Supriyanto,10000000,6,0.025,250000,1500000,11500000
Salman Purnawarman,14000000,6,0.025,350000,2100000,16100000
Prayoga Wardana,16000000,6,0.025,400000,2400000,18400000
Syahrini Suryatmi,8000000,12,0.03,240000,2880000,10880000
Emas Maheswara,20000000,6,0.02,400000,2400000,22400000
Kasim Haikal,9000000,6,0.015,135000,810000,9810000
Ani Ramadhani,17000000,3,0.035,595000,1785000,18785000
Lasmono Adriansyah,20000000,3,0.025,500000,1500000,21500000
Cahyono Prasetyo,12000000,3,0.025,300000,900000,12900000
Embuh Ahmad,14000000,6,0.035,490000,2940000,16940000
Jindra Marpaung,16000000,6,0.035,560000,3360000,19360000
Joko Nanda,16000000,6,0.03,480000,2880000,18880000
Hardana Prasetya,8000000,12,0.025,200000,2400000,10400000
Bakiono Abimanyu,9000000,6,0.03,270000,1620000,10620000
Mulyono Widodo,20000000,12,0.025,500000,6000000,26000000
Hilda Namaga,9000000,6,0.02,180000,1080000,10080000
Kuncara Firmansyah,19000000,3,0.015,285000,855000,19855000
Kasusra Waluyo,10000000,3,0.035,350000,1050000,11050000
Gangsar Marpaung,14000000,12,0.035,490000,5880000,19880000
Caraka Putra,8000000,6,0.025,200000,1200000,9200000
Empluk Airlangga,11000000,3,0.03,330000,990000,11990000
Cengkir Febian,16000000,6,0.035,560000,3360000,19360000
Aulia Usada,8000000,6,0.025,200000,1200000,9200000
Nasab Sabian,17000000,12,0.025,425000,5100000,22100000
Rahmi Yuliarti,10000000,12,0.035,350000,4200000,14200000
Vero Oktovian,20000000,3,0.035,700000,2100000,22100000
Rafi Putra,19000000,6,0.02,380000,2280000,21280000
Vinsen Samosir,12000000,3,0.015,180000,540000,12540000
Dadi Rendra,7000000,3,0.035,245000,735000,7735000
Kawaca Wacana,20000000,6,0.025,500000,3000000,23000000
Bahuraksa Prabowo,5000000,3,0.025,125000,375000,5375000
Kasiran Wijaya,12000000,3,0.025,300000,900000,12900000
Bagas Darmawan,18000000,6,0.015,270000,1620000,19620000
Safina Utami,14000000,6,0.025,350000,2100000,16100000
Belinda Yuniar,17000000,6,0.015,255000,1530000,18530000
Dirja Pradana,14000000,6,0.015,210000,1260000,15260000
Ajiman Habibi,19000000,6,0.025,475000,2850000,21850000
Putri Novitasari,14000000,6,0.025,350000,2100000,16100000
Kala Salahudin,16000000,3,0.025,400000,1200000,17200000
Maras Mangunsong,10000000,6,0.025,250000,1500000,11500000
Marwata Siregar,15000000,3,0.02,300000,900000,15900000
Umaya Marpaung,17000000,12,0.025,425000,5100000,22100000
Gadis Ardiyanti,19000000,12,0.025,475000,5700000,24700000
Karna Prakasa,9000000,6,0.025,225000,1350000,10350000
Martaka Sihombing,16000000,3,0.035,560000,1680000,17680000
Irnanto Nugroho,15000000,12,0.025,375000,4500000,19500000
Marwata Wibowo,16000000,6,0.035,560000,3360000,19360000
Rafi Lesmana,6000000,6,0.015,90000,540000,6540000
Indira Nasyidah,18000000,3,0.03,540000,1620000,19620000
Saadat Tampubolon,7000000,6,0.035,245000,1470000,8470000
Heryanto Habibi,10000000,3,0.025,250000,750000,10750000
Laras Oktaviani,16000000,6,0.015,240000,1440000,17440000
Paiman Habibi,17000000,6,0.03,510000,3060000,20060000
Rahmat Bagaskara,12000000,12,0.025,300000,3600000,15600000
Ani Ningrum,20000000,6,0.015,300000,1800000,21800000
Estiawan Haikal,17000000,12,0.025,425000,5100000,22100000
Maras Arifin,15000000,6,0.025,375000,2250000,17250000
Raden Sitorus,16000000,3,0.015,240000,720000,16720000
Indah Andini,9000000,12,0.03,270000,3240000,12240000
Dwi Suryatmi,8000000,12,0.015,120000,1440000,9440000
Halim Ardianto,17000000,3,0.02,340000,1020000,18020000
Tasnim Maryadi,19000000,6,0.035,665000,3990000,22990000
Ani Damayanti,10000000,6,0.035,350000,2100000,12100000
Vivi Widiastuti,8000000,12,0.015,120000,1440000,9440000
Ghani Siregar,12000000,6,0.02,240000,1440000,13440000
Karimah Palastri,12000000,3,0.015,180000,540000,12540000
Cinthia Rahmawati,14000000,12,0.035,490000,5880000,19880000
Cinta Ningrum,8000000,12,0.02,160000,1920000,9920000
Karna Purwadi,14000000,6,0.025,350000,2100000,16100000
Viktor Wasita,19000000,6,0.03,570000,3420000,22420000
Rafi Anggriawan,17000000,6,0.025,425000,2550000,19550000
Yuni Wulandari,18000000,12,0.02,360000,4320000,22320000
Tasdik Nugroho,7000000,3,0.025,175000,525000,7525000
Rahmi Farida,17000000,12,0.025,425000,5100000,22100000
Hartana Wacana,12000000,3,0.025,300000,900000,12900000
Lulut Samosir,11000000,3,0.035,385000,1155000,12155000
Hasim Wasita,11000000,6,0.015,165000,990000,11990000
Najib Wibowo,7000000,6,0.035,245000,1470000,8470000
Gandi Siregar,20000000,6,0.03,600000,3600000,23600000
Jarwa Hidayat,18000000,6,0.015,270000,1620000,19620000
Nasrullah Pradipta,16000000,3,0.025,400000,1200000,17200000
Hari Nugraha,16000000,12,0.015,240000,2880000,18880000
Unjani Farida,8000000,6,0.015,120000,720000,8720000
Asirwanda Budiyanto,12000000,3,0.035,420000,1260000,13260000
Yessi Wulandari,14000000,12,0.02,280000,3360000,17360000
Kurnia Putra,19000000,6,0.035,665000,3990000,22990000
Halim Mangunsong,14000000,6,0.035,490000,2940000,16940000
